sample_date,e_coli_cfu_per_100ml,value_note,lookback_days,spill_hours_within_1_mile,spill_hours_1_to_5_miles,spill_hours_5_to_10_miles,spill_hours_10_to_20_miles,spill_hours_20_to_50_miles,queried_feature_count,event_count,spill_hours_total,nearest_spill_miles
2025-05-22,10.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-05-22,10.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-05-22,10.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-05-22,10.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-05-22,10.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-05-22,10.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-05-22,10.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-06-17,140.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-06-17,140.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-06-17,140.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-06-17,140.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-06-17,140.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-06-17,140.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-06-17,140.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-09,85.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-09,85.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-09,85.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-09,85.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-09,85.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-09,85.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-09,85.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-21,95.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-21,95.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-21,95.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-21,95.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-21,95.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-21,95.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-21,95.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-26,620.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-26,620.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-26,620.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-26,620.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-26,620.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-26,620.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-07-26,620.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-02,85.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-02,85.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-02,85.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-02,85.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-02,85.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-02,85.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-02,85.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-09,490.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-09,490.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-09,490.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-09,490.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-09,490.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-09,490.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-09,490.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-16,145.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-16,145.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-16,145.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-16,145.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-16,145.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-16,145.0,,6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-16,145.0,,7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-23,20.0,,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-23,20.0,,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-23,20.0,,3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-23,20.0,,4,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
2025-08-23,20.0,,5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
