date,Conham,Hanham,Bristol (centre),Kingswood,Keynsham,Bristol Frome (Frenchay),Bradley Stoke,Portishead (tidal mouth),Nailsea,Pensford (Chew),Chew Magna,Blagdon (Chew head),Yate,Thornbury,Wotton-under-Edge,Bath,Marshfield (By Brook),Colerne,Corsham,Bradford-on-Avon,Radstock (Wellow Brook),Midsomer Norton (Somer),Frome (Somerset),Westbury,Trowbridge,Melksham,Chippenham,Calne (Marden),Devizes,Malmesbury (headwaters),Tetbury (source),catchment_max_mm_per_h,catchment_max_site,catchment_max_cape_j_per_kg,catchment_max_cape_site
2025-06-02,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,Bristol Frome (Frenchay),0.0,Conham
2025-06-03,1.8,1.8,1.8,2.3,1.8,1.7,1.5,1.3,1.2,1.5,1.5,1.2,2.1,1.8,2.0,1.5,1.9,1.4,1.3,1.2,1.5,1.5,1.2,0.8,0.8,1.0,1.3,1.1,1.0,2.0,2.0,2.3,Kingswood,0.0,Conham
2025-06-04,0.3,0.3,0.3,0.1,0.3,0.3,0.1,0.6,1.0,0.9,0.9,0.8,0.1,0.1,0.2,1.0,0.5,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.6,0.3,0.4,0.4,0.2,0.2,0.2,1.0,Nailsea,0.0,Conham
2025-06-05,1.0,0.9,1.0,0.8,0.9,0.8,2.4,0.9,1.0,1.7,1.7,1.3,2.9,1.2,1.2,1.0,0.7,1.2,0.6,2.2,1.0,1.0,3.9,4.3,1.5,0.9,0.6,1.2,1.2,1.3,0.7,4.3,Westbury,0.0,Conham
2025-06-06,1.6,1.6,1.6,1.8,1.6,1.8,1.7,2.3,2.3,1.4,1.4,1.4,1.8,1.2,1.4,1.3,1.7,1.5,1.6,1.2,0.9,0.9,0.6,2.1,1.0,1.2,1.6,1.1,0.9,1.4,1.2,2.3,Portishead (tidal mouth),0.0,Conham
2025-06-07,1.7,2.2,1.7,3.9,2.2,3.0,1.4,4.0,1.5,2.5,2.5,2.3,1.0,0.9,0.7,1.4,1.0,2.7,2.1,2.0,1.7,1.7,2.2,3.8,1.4,1.2,2.1,2.3,1.9,3.9,1.3,4.0,Portishead (tidal mouth),0.0,Conham
2025-06-08,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,Bristol Frome (Frenchay),0.0,Conham
2025-06-09,0.6,0.2,0.6,0.1,0.2,0.2,0.1,0.1,0.7,0.3,0.3,0.7,0.1,0.1,0.2,0.3,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.1,0.1,0.7,Nailsea,0.0,Conham
2025-06-10,0.3,0.2,0.3,0.4,0.2,0.5,0.2,0.1,0.6,0.1,0.1,0.6,0.4,0.5,0.4,0.1,0.3,0.1,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.3,0.4,0.4,0.6,Nailsea,0.0,Conham
2025-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,Bradford-on-Avon,0.0,Conham
